season,week,game_type,home_team,away_team,home_score,away_score,result,elo_local_pre,elo_visita_pre,prob_local,elo_local_post,elo_visita_post
2005,16,REG,KC,LAC,20.0,7.0,13.0,1519.56,1539.76,0.5641,1528.28,1531.04
2005,16,REG,MIA,TEN,24.0,10.0,14.0,1502.03,1446.44,0.6669,1508.69,1439.78
2005,16,REG,NO,DET,12.0,13.0,-1.0,1429.18,1441.51,0.5752,1417.68,1453.01
2005,16,REG,LA,SF,20.0,24.0,-4.0,1461.37,1416.79,0.6527,1448.32,1429.84
2005,16,REG,TB,ATL,27.0,24.0,3.0,1535.51,1512.36,0.6242,1543.03,1504.85
2005,16,REG,WAS,NYG,35.0,20.0,15.0,1517.32,1550.6,0.5455,1526.41,1541.51
2005,16,REG,ARI,PHI,27.0,21.0,6.0,1446.91,1483.28,0.5411,1456.09,1474.1
2005,16,REG,DEN,LV,22.0,3.0,19.0,1568.81,1445.85,0.7469,1573.87,1440.79
2005,16,REG,SEA,IND,28.0,13.0,15.0,1584.29,1597.96,0.5733,1592.82,1589.43
2005,16,REG,GB,CHI,17.0,24.0,-7.0,1438.14,1550.6,0.4321,1429.5,1559.25
2005,16,REG,BAL,MIN,30.0,23.0,7.0,1470.12,1520.1,0.5216,1479.69,1510.53
2005,16,REG,NYJ,NE,21.0,31.0,-10.0,1435.57,1536.2,0.4489,1426.59,1545.17
2005,17,REG,LAC,DEN,7.0,23.0,-16.0,1531.04,1573.87,0.5319,1520.4,1584.51
2005,17,REG,LV,NYG,21.0,30.0,-9.0,1440.79,1541.51,0.4488,1431.81,1550.49
2005,17,REG,ATL,CAR,11.0,44.0,-33.0,1504.85,1537.41,0.5465,1493.92,1548.34
2005,17,REG,CLE,BAL,20.0,16.0,4.0,1459.01,1479.69,0.5634,1467.74,1470.96
2005,17,REG,GB,SEA,23.0,17.0,6.0,1429.5,1592.82,0.3622,1442.25,1580.06
2005,17,REG,IND,ARI,17.0,13.0,4.0,1589.43,1456.09,0.758,1594.27,1451.25
2005,17,REG,KC,CIN,37.0,3.0,34.0,1528.28,1549.96,0.562,1537.04,1541.2
2005,17,REG,NE,MIA,26.0,28.0,-2.0,1545.17,1508.69,0.642,1532.33,1521.54
2005,17,REG,NYJ,BUF,30.0,26.0,4.0,1426.59,1459.65,0.5458,1435.68,1450.56
2005,17,REG,PIT,DET,35.0,21.0,14.0,1545.59,1453.01,0.7124,1551.34,1447.26
2005,17,REG,TB,NO,27.0,13.0,14.0,1543.03,1417.68,0.7495,1548.04,1412.67
2005,17,REG,JAX,TEN,40.0,13.0,27.0,1557.78,1439.78,0.7414,1562.95,1434.6
2005,17,REG,SF,HOU,20.0,17.0,3.0,1429.84,1410.18,0.6195,1437.45,1402.57
2005,17,REG,MIN,CHI,34.0,10.0,24.0,1510.53,1559.25,0.5234,1520.06,1549.72
2005,17,REG,PHI,WAS,20.0,31.0,-11.0,1474.1,1526.41,0.5183,1463.74,1536.78
2005,17,REG,DAL,LA,10.0,20.0,-10.0,1530.16,1448.32,0.6996,1516.16,1462.31
2005,18,WC,TB,WAS,10.0,17.0,-7.0,1548.04,1536.78,0.608,1535.88,1548.94
2005,18,WC,NE,JAX,28.0,3.0,25.0,1532.33,1562.95,0.5493,1541.35,1553.94
2005,18,WC,NYG,CAR,0.0,23.0,-23.0,1550.49,1548.34,0.5954,1538.58,1560.25
