game_id,season,game_type,week,away_team,away_score,home_team,home_score,result
2005_17_ARI_IND,2005,REG,17,ARI,13.0,IND,17.0,4.0
2005_17_CIN_KC,2005,REG,17,CIN,3.0,KC,37.0,34.0
2005_17_MIA_NE,2005,REG,17,MIA,28.0,NE,26.0,-2.0
2005_17_BUF_NYJ,2005,REG,17,BUF,26.0,NYJ,30.0,4.0
2005_17_DET_PIT,2005,REG,17,DET,21.0,PIT,35.0,14.0
2005_17_NO_TB,2005,REG,17,NO,13.0,TB,27.0,14.0
2005_17_TEN_JAX,2005,REG,17,TEN,13.0,JAX,40.0,27.0
2005_17_HOU_SF,2005,REG,17,HOU,17.0,SF,20.0,3.0
2005_17_CHI_MIN,2005,REG,17,CHI,10.0,MIN,34.0,24.0
2005_17_WAS_PHI,2005,REG,17,WAS,31.0,PHI,20.0,-11.0
2005_17_STL_DAL,2005,REG,17,STL,20.0,DAL,10.0,-10.0
2005_18_WAS_TB,2005,WC,18,WAS,17.0,TB,10.0,-7.0
2005_18_JAX_NE,2005,WC,18,JAX,3.0,NE,28.0,25.0
2005_18_CAR_NYG,2005,WC,18,CAR,23.0,NYG,0.0,-23.0
2005_18_PIT_CIN,2005,WC,18,PIT,31.0,CIN,17.0,-14.0
2005_19_WAS_SEA,2005,DIV,19,WAS,10.0,SEA,20.0,10.0
2005_19_NE_DEN,2005,DIV,19,NE,13.0,DEN,27.0,14.0
2005_19_PIT_IND,2005,DIV,19,PIT,21.0,IND,18.0,-3.0
2005_19_CAR_CHI,2005,DIV,19,CAR,29.0,CHI,21.0,-8.0
2005_20_PIT_DEN,2005,CON,20,PIT,34.0,DEN,17.0,-17.0
2005_20_CAR_SEA,2005,CON,20,CAR,14.0,SEA,34.0,20.0
2005_21_SEA_PIT,2005,SB,21,SEA,10.0,PIT,21.0,11.0
2006_01_MIA_PIT,2006,REG,1,MIA,17.0,PIT,28.0,11.0
2006_01_ATL_CAR,2006,REG,1,ATL,20.0,CAR,6.0,-14.0
2006_01_NO_CLE,2006,REG,1,NO,19.0,CLE,14.0,-5.0
2006_01_SEA_DET,2006,REG,1,SEA,9.0,DET,6.0,-3.0
2006_01_PHI_HOU,2006,REG,1,PHI,24.0,HOU,10.0,-14.0
2006_01_CIN_KC,2006,REG,1,CIN,23.0,KC,10.0,-13.0
2006_01_BUF_NE,2006,REG,1,BUF,17.0,NE,19.0,2.0
2006_01_DEN_STL,2006,REG,1,DEN,10.0,STL,18.0,8.0
2006_01_BAL_TB,2006,REG,1,BAL,27.0,TB,0.0,-27.0
2006_01_NYJ_TEN,2006,REG,1,NYJ,23.0,TEN,16.0,-7.0
2006_01_SF_ARI,2006,REG,1,SF,27.0,ARI,34.0,7.0
2006_01_CHI_GB,2006,REG,1,CHI,26.0,GB,0.0,-26.0
2006_01_DAL_JAX,2006,REG,1,DAL,17.0,JAX,24.0,7.0
2006_01_IND_NYG,2006,REG,1,IND,26.0,NYG,21.0,-5.0
2006_01_MIN_WAS,2006,REG,1,MIN,19.0,WAS,16.0,-3.0
2006_01_SD_OAK,2006,REG,1,SD,27.0,OAK,0.0,-27.0
2006_02_TB_ATL,2006,REG,2,TB,3.0,ATL,14.0,11.0
2006_02_OAK_BAL,2006,REG,2,OAK,6.0,BAL,28.0,22.0
2006_02_DET_CHI,2006,REG,2,DET,7.0,CHI,34.0,27.0
2006_02_CLE_CIN,2006,REG,2,CLE,17.0,CIN,34.0,17.0
2006_02_NO_GB,2006,REG,2,NO,34.0,GB,27.0,-7.0
2006_02_HOU_IND,2006,REG,2,HOU,24.0,IND,43.0,19.0
2006_02_BUF_MIA,2006,REG,2,BUF,16.0,MIA,6.0,-10.0
2006_02_CAR_MIN,2006,REG,2,CAR,13.0,MIN,16.0,3.0
2006_02_NYG_PHI,2006,REG,2,NYG,30.0,PHI,24.0,-6.0
2006_02_ARI_SEA,2006,REG,2,ARI,10.0,SEA,21.0,11.0
2006_02_STL_SF,2006,REG,2,STL,13.0,SF,20.0,7.0
2006_02_KC_DEN,2006,REG,2,KC,6.0,DEN,9.0,3.0
2006_02_NE_NYJ,2006,REG,2,NE,24.0,NYJ,17.0,-7.0
2006_02_TEN_SD,2006,REG,2,TEN,7.0,SD,40.0,33.0
2006_02_WAS_DAL,2006,REG,2,WAS,10.0,DAL,27.0,17.0
2006_02_PIT_JAX,2006,REG,2,PIT,0.0,JAX,9.0,9.0
2006_03_NYJ_BUF,2006,REG,3,NYJ,28.0,BUF,20.0,-8.0
2006_03_GB_DET,2006,REG,3,GB,31.0,DET,24.0,-7.0
2006_03_WAS_HOU,2006,REG,3,WAS,31.0,HOU,15.0,-16.0
2006_03_JAX_IND,2006,REG,3,JAX,14.0,IND,21.0,7.0
2006_03_TEN_MIA,2006,REG,3,TEN,10.0,MIA,13.0,3.0
2006_03_CHI_MIN,2006,REG,3,CHI,19.0,MIN,16.0,-3.0
2006_03_CIN_PIT,2006,REG,3,CIN,28.0,PIT,20.0,-8.0
2006_03_CAR_TB,2006,REG,3,CAR,26.0,TB,24.0,-2.0
2006_03_BAL_CLE,2006,REG,3,BAL,15.0,CLE,14.0,-1.0
2006_03_STL_ARI,2006,REG,3,STL,16.0,ARI,14.0,-2.0
2006_03_NYG_SEA,2006,REG,3,NYG,30.0,SEA,42.0,12.0
2006_03_PHI_SF,2006,REG,3,PHI,38.0,SF,24.0,-14.0
2006_03_DEN_NE,2006,REG,3,DEN,17.0,NE,7.0,-10.0
2006_03_ATL_NO,2006,REG,3,ATL,3.0,NO,23.0,20.0
2006_04_ARI_ATL,2006,REG,4,ARI,10.0,ATL,32.0,22.0
2006_04_SD_BAL,2006,REG,4,SD,13.0,BAL,16.0,3.0
2006_04_MIN_BUF,2006,REG,4,MIN,12.0,BUF,17.0,5.0
2006_04_NO_CAR,2006,REG,4,NO,18.0,CAR,21.0,3.0
2006_04_MIA_HOU,2006,REG,4,MIA,15.0,HOU,17.0,2.0
2006_04_SF_KC,2006,REG,4,SF,0.0,KC,41.0,41.0
2006_04_IND_NYJ,2006,REG,4,IND,31.0,NYJ,28.0,-3.0
2006_04_DAL_TEN,2006,REG,4,DAL,45.0,TEN,14.0,-31.0
2006_04_DET_STL,2006,REG,4,DET,34.0,STL,41.0,7.0
2006_04_NE_CIN,2006,REG,4,NE,38.0,CIN,13.0,-25.0
2006_04_CLE_OAK,2006,REG,4,CLE,24.0,OAK,21.0,-3.0
2006_04_JAX_WAS,2006,REG,4,JAX,30.0,WAS,36.0,6.0
2006_04_SEA_CHI,2006,REG,4,SEA,6.0,CHI,37.0,31.0
2006_04_GB_PHI,2006,REG,4,GB,9.0,PHI,31.0,22.0
2006_05_CLE_CAR,2006,REG,5,CLE,12.0,CAR,20.0,8.0
2006_05_BUF_CHI,2006,REG,5,BUF,7.0,CHI,40.0,33.0
2006_05_STL_GB,2006,REG,5,STL,23.0,GB,20.0,-3.0
2006_05_TEN_IND,2006,REG,5,TEN,13.0,IND,14.0,1.0
2006_05_DET_MIN,2006,REG,5,DET,17.0,MIN,26.0,9.0
2006_05_MIA_NE,2006,REG,5,MIA,10.0,NE,20.0,10.0
2006_05_TB_NO,2006,REG,5,TB,21.0,NO,24.0,3.0
2006_05_WAS_NYG,2006,REG,5,WAS,3.0,NYG,19.0,16.0
2006_05_KC_ARI,2006,REG,5,KC,23.0,ARI,20.0,-3.0
2006_05_NYJ_JAX,2006,REG,5,NYJ,0.0,JAX,41.0,41.0
2006_05_OAK_SF,2006,REG,5,OAK,20.0,SF,34.0,14.0
2006_05_DAL_PHI,2006,REG,5,DAL,24.0,PHI,38.0,14.0
2006_05_PIT_SD,2006,REG,5,PIT,13.0,SD,23.0,10.0
2006_05_BAL_DEN,2006,REG,5,BAL,3.0,DEN,13.0,10.0
